distrito,seccion,Total,PSOE,CHA,IU,PP,PAR,PODEMOS,CIUDADANOS
4,018,783,54,17,29,196,12,105,65
4,021,522,42,9,17,142,12,71,37
4,021,554,35,20,20,155,17,68,33
4,023,531,47,7,13,147,20,82,33
4,023,547,64,10,16,148,20,64,37
4,024,422,26,7,12,116,17,41,42
4,024,419,28,15,8,117,19,41,32
4,025,487,43,11,11,95,9,94,36
4,025,533,42,13,11,143,13,70,41
4,027,558,45,11,14,121,10,110,28
4,027,536,47,14,18,92,5,104,29
4,028,492,49,17,12,93,6,81,43
4,028,534,34,13,20,113,15,84,43
4,029,563,45,12,17,169,12,70,38
4,029,509,36,5,8,146,9,76,52
4,031,683,41,12,12,176,5,82,65
4,033,458,42,16,17,127,10,57,31
4,033,478,39,11,23,129,7,84,20
4,034,421,19,12,18,122,9,59,46
4,034,455,43,20,12,106,13,68,34
4,035,653,50,14,21,180,23,95,71
4,036,440,24,14,7,139,8,46,53
4,036,446,40,7,13,150,19,55,35
4,037,749,42,9,22,270,23,62,87
4,037,804,47,10,18,285,25,73,104
4,038,647,49,16,12,172,12,91,51
4,038,694,59,15,10,174,12,121,62
4,039,726,132,29,17,83,10,108,26
4,040,543,62,11,11,70,8,101,46
4,041,510,47,11,15,125,20,54,59
4,041,558,58,15,10,137,20,68,54
4,042,789,30,6,7,290,19,53,92
4,042,737,30,6,6,309,15,46,111
4,043,816,41,17,23,285,23,95,64
4,044,599,53,16,10,176,13,60,99
4,044,681,57,19,10,203,23,60,90
4,045,643,42,13,12,198,12,69,69
4,045,639,37,14,18,198,18,76,59
4,046,515,72,18,19,68,8,97,28
4,048,685,83,14,20,177,22,86,82
4,048,667,69,21,19,189,23,78,72
4,049,734,62,22,38,185,25,123,80
4,051,592,54,24,27,139,15,100,66
4,051,652,44,19,24,184,19,92,78
4,052,816,59,12,11,299,16,87,111
4,053,538,37,13,7,160,13,54,84
4,053,611,43,12,11,190,16,59,91
4,054,500,35,9,11,122,10,71,56
4,054,455,25,16,13,103,10,62,44
4,055,588,32,10,26,155,26,85,89
4,055,635,38,14,17,153,25,94,90
4,055,563,44,12,21,150,15,68,91
4,056,513,47,15,7,153,11,67,72
4,056,459,42,14,9,127,10,58,76
4,057,569,40,13,12,174,27,54,73
4,057,587,36,11,11,171,16,61,86
4,057,584,31,10,9,164,23,50,85
4,058,593,47,7,17,144,27,83,86
4,058,676,51,14,13,182,29,90,91
4,059,388,12,19,10,85,7,55,59
4,059,474,32,17,12,87,11,75,68
4,060,557,62,22,23,55,10,140,64
4,060,614,71,30,16,65,5,149,58
4,060,619,51,36,16,77,11,155,62
4,061,613,72,28,21,49,12,155,67
4,061,644,57,31,23,67,11,160,69
4,061,632,63,35,18,55,13,145,58
4,062,554,37,25,6,98,7,125,79
4,062,612,44,32,22,77,19,134,77
4,063,573,34,22,31,68,14,123,71
4,063,643,40,34,26,95,5,161,76
4,064,568,39,34,15,49,7,155,63
4,064,649,45,32,29,59,13,166,73
4,064,627,47,37,27,58,7,156,72
4,065,712,50,40,25,68,12,169,93
4,065,642,35,45,22,71,13,154,77
4,066,601,43,42,23,74,12,148,72
4,066,734,64,41,28,112,15,186,63
4,066,635,64,40,32,89,14,112,72
4,067,678,56,42,37,46,6,167,68
4,067,735,66,30,22,61,10,194,89
4,068,541,44,32,17,56,8,129,60
4,068,617,43,32,27,61,15,146,69
4,068,542,42,29,18,49,12,122,69
4,069,619,36,25,22,53,7,154,43
4,069,586,42,34,15,41,7,147,65
4,070,600,57,81,11,49,10,125,79
4,070,734,51,93,22,65,6,175,64
4,070,635,41,84,11,52,9,161,66
5,001,701,115,30,31,125,15,131,40
5,001,735,112,30,22,132,31,120,42
5,002,738,79,32,24,132,27,116,59
5,002,620,70,23,30,115,18,91,53
5,003,764,109,24,22,161,10,91,58
5,004,611,61,8,11,168,11,63,55
5,004,670,71,13,11,217,16,88,42
5,005,428,37,22,10,130,7,34,34
5,005,447,38,10,8,112,12,54,51
5,006,502,54,10,17,122,7,50,30
5,006,512,57,9,14,118,13,50,22
5,007,635,91,17,14,122,29,96,56
5,007,703,96,27,23,148,21,85,52
5,008,661,87,27,26,97,14,91,41
5,008,595,83,19,14,86,17,95,50
5,009,494,53,13,27,89,21,60,38
