 Municipio, Mesa, Censo, Censo total, Votos_electores, Votos_interventores, Votos_totales, Votos_nulos, Votos_blancos, P.S.O.E., F.I.A., CHA, EB, BAR, I.U., P.P., P.C.P.E., PACMA, UPyD, COMPROMISO CON ARAGON, PAR, PODEMOS, EQUO, C`s, RECORTES CERO
 Ariza, 1-001 -B, 437.0, 437.0, 341.0, 0.0, 341.0, 10.0, 9.0, 143.0, 0.0, 2.0, 3.0, 1.0, 7.0, 79.0, 0.0, 0.0, 1.0, 0.0, 17.0, 46.0, 1.0, 22.0, 0.0
 Artieda, 1-001 -U, 75.0, 75.0, 53.0, 0.0, 53.0, 1.0, 1.0, 1.0, 0.0, 22.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 24.0, 0.0, 0.0, 0.0
 As?, 1-001 -U, 103.0, 103.0, 79.0, 0.0, 79.0, 0.0, 1.0, 28.0, 0.0, 6.0, 0.0, 0.0, 3.0, 19.0, 0.0, 0.0, 0.0, 0.0, 7.0, 8.0, 0.0, 7.0, 0.0
 Atea, 1-001 -U, 144.0, 144.0, 105.0, 0.0, 105.0, 0.0, 0.0, 33.0, 0.0, 0.0, 0.0, 1.0, 0.0, 44.0, 0.0, 1.0, 1.0, 0.0, 7.0, 9.0, 0.0, 9.0, 0.0
 Ateca, 1-001 -A, 515.0, 515.0, 414.0, 1.0, 415.0, 3.0, 7.0, 161.0, 0.0, 8.0, 1.0, 0.0, 25.0, 92.0, 0.0, 2.0, 1.0, 0.0, 38.0, 62.0, 1.0, 13.0, 1.0
 Ateca, 1-001 -B, 525.0, 525.0, 417.0, 0.0, 417.0, 1.0, 5.0, 176.0, 0.0, 10.0, 1.0, 0.0, 17.0, 100.0, 1.0, 2.0, 2.0, 0.0, 40.0, 50.0, 0.0, 12.0, 0.0
 Ateca, 1-001 -C, 493.0, 493.0, 381.0, 1.0, 382.0, 2.0, 7.0, 168.0, 1.0, 10.0, 2.0, 0.0, 16.0, 76.0, 0.0, 0.0, 2.0, 1.0, 32.0, 52.0, 0.0, 13.0, 0.0
 Azuara, 1-001 -U, 513.0, 513.0, 433.0, 0.0, 433.0, 3.0, 8.0, 114.0, 1.0, 7.0, 2.0, 1.0, 21.0, 134.0, 0.0, 2.0, 2.0, 0.0, 27.0, 98.0, 1.0, 12.0, 0.0
 Badules, 1-001 -U, 93.0, 93.0, 71.0, 0.0, 71.0, 1.0, 2.0, 28.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 0.0, 2.0, 0.0
 Bag??, 1-001 -U, 13.0, 13.0, 11.0, 0.0, 11.0, 0.0, 0.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0
 Balconch?, 1-001 -U, 15.0, 15.0, 14.0, 0.0, 14.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0
 B?boles, 1-001 -U, 263.0, 263.0, 195.0, 0.0, 195.0, 1.0, 3.0, 47.0, 1.0, 4.0, 0.0, 1.0, 8.0, 54.0, 1.0, 1.0, 1.0, 0.0, 44.0, 15.0, 0.0, 14.0, 0.0
 Bardallur, 1-001 -U, 231.0, 231.0, 151.0, 0.0, 151.0, 3.0, 3.0, 47.0, 0.0, 26.0, 0.0, 1.0, 6.0, 32.0, 0.0, 0.0, 0.0, 0.0, 4.0, 25.0, 0.0, 3.0, 1.0
 Belchite, 1-001 -U, 664.0, 664.0, 488.0, 0.0, 488.0, 8.0, 7.0, 108.0, 0.0, 12.0, 2.0, 0.0, 7.0, 202.0, 0.0, 0.0, 3.0, 0.0, 55.0, 66.0, 1.0, 17.0, 0.0
 Belchite, 1-002 -U, 587.0, 587.0, 464.0, 0.0, 464.0, 7.0, 7.0, 149.0, 0.0, 11.0, 2.0, 1.0, 17.0, 146.0, 0.0, 3.0, 0.0, 0.0, 49.0, 47.0, 0.0, 23.0, 2.0
 Belmonte de Graci?, 1-001 -U, 178.0, 178.0, 148.0, 0.0, 148.0, 1.0, 3.0, 14.0, 0.0, 3.0, 1.0, 0.0, 2.0, 34.0, 1.0, 0.0, 0.0, 0.0, 72.0, 10.0, 0.0, 7.0, 0.0
 Berdejo, 1-001 -U, 49.0, 49.0, 35.0, 0.0, 35.0, 2.0, 1.0, 8.0, 0.0, 2.0, 0.0, 1.0, 2.0, 11.0, 0.0, 0.0, 0.0, 0.0, 3.0, 4.0, 0.0, 0.0, 1.0
 Berrueco, 1-001 -U, 35.0, 35.0, 29.0, 0.0, 29.0, 0.0, 0.0, 5.0, 0.0, 1.0, 0.0, 0.0, 2.0, 5.0, 0.0, 1.0, 0.0, 0.0, 1.0, 14.0, 0.0, 0.0, 0.0
 Biel, 1-001 -A, 118.0, 118.0, 82.0, 0.0, 82.0, 1.0, 1.0, 16.0, 0.0, 2.0, 0.0, 0.0, 8.0, 29.0, 0.0, 0.0, 3.0, 0.0, 1.0, 15.0, 0.0, 6.0, 0.0
 Biel, 1-001 -B, 26.0, 26.0, 18.0, 0.0, 18.0, 0.0, 0.0, 7.0, 0.0, 2.0, 0.0, 0.0, 2.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
 Bijuesca, 1-001 -U, 99.0, 99.0, 72.0, 0.0, 72.0, 1.0, 1.0, 36.0, 0.0, 4.0, 0.0, 0.0, 3.0, 10.0, 0.0, 0.0, 0.0, 1.0, 4.0, 8.0, 0.0, 4.0, 0.0
 Biota, 1-001 -A, 445.0, 445.0, 376.0, 1.0, 377.0, 4.0, 6.0, 192.0, 0.0, 8.0, 0.0, 0.0, 4.0, 101.0, 3.0, 0.0, 0.0, 0.0, 21.0, 25.0, 0.0, 13.0, 0.0
 Biota, 1-001 -B, 398.0, 398.0, 320.0, 1.0, 321.0, 2.0, 8.0, 125.0, 0.0, 3.0, 0.0, 0.0, 3.0, 117.0, 0.0, 0.0, 0.0, 1.0, 33.0, 25.0, 0.0, 3.0, 1.0
 Bisimbre, 1-001 -U, 90.0, 90.0, 72.0, 0.0, 72.0, 2.0, 0.0, 13.0, 0.0, 1.0, 0.0, 0.0, 0.0, 42.0, 0.0, 1.0, 0.0, 0.0, 9.0, 3.0, 0.0, 1.0, 0.0
 Boqui?ni, 1-001 -A, 346.0, 346.0, 271.0, 1.0, 272.0, 4.0, 8.0, 104.0, 1.0, 4.0, 0.0, 0.0, 6.0, 97.0, 0.0, 4.0, 0.0, 0.0, 24.0, 12.0, 0.0, 8.0, 0.0
 Boqui?ni, 1-001 -B, 347.0, 347.0, 270.0, 0.0, 270.0, 6.0, 10.0, 92.0, 0.0, 3.0, 0.0, 0.0, 10.0, 69.0, 0.0, 3.0, 0.0, 1.0, 46.0, 23.0, 1.0, 6.0, 0.0
 Bordalba, 1-001 -U, 60.0, 60.0, 52.0, 0.0, 52.0, 4.0, 1.0, 8.0, 0.0, 1.0, 1.0, 0.0, 1.0, 6.0, 0.0, 0.0, 0.0, 0.0, 22.0, 6.0, 0.0, 2.0, 0.0
 Borja, 1-001 -A, 606.0, 606.0, 439.0, 0.0, 439.0, 16.0, 17.0, 81.0, 0.0, 38.0, 0.0, 0.0, 19.0, 110.0, 0.0, 0.0, 1.0, 0.0, 59.0, 72.0, 0.0, 26.0, 0.0
 Borja, 1-001 -B, 592.0, 592.0, 406.0, 1.0, 407.0, 7.0, 9.0, 97.0, 0.0, 25.0, 0.0, 0.0, 29.0, 98.0, 0.0, 4.0, 1.0, 0.0, 50.0, 64.0, 0.0, 23.0, 0.0
 Borja, 1-001 -C, 648.0, 648.0, 461.0, 0.0, 461.0, 5.0, 9.0, 107.0, 0.0, 32.0, 3.0, 0.0, 19.0, 125.0, 0.0, 1.0, 1.0, 3.0, 48.0, 84.0, 1.0, 23.0, 0.0
 Borja, 2-001 -A, 594.0, 594.0, 406.0, 0.0, 406.0, 11.0, 9.0, 88.0, 0.0, 23.0, 3.0, 0.0, 23.0, 106.0, 0.0, 1.0, 2.0, 0.0, 50.0, 69.0, 3.0, 18.0, 0.0
 Borja, 2-001 -B, 574.0, 574.0, 358.0, 1.0, 359.0, 4.0, 8.0, 85.0, 0.0, 20.0, 2.0, 0.0, 10.0, 88.0, 0.0, 3.0, 0.0, 0.0, 48.0, 72.0, 0.0, 18.0, 1.0
 Borja, 2-001 -C, 594.0, 594.0, 411.0, 0.0, 411.0, 7.0, 13.0, 81.0, 0.0, 25.0, 0.0, 0.0, 14.0, 92.0, 0.0, 3.0, 2.0, 0.0, 60.0, 89.0, 1.0, 24.0, 0.0
 Botorrita, 1-001 -U, 409.0, 409.0, 295.0, 0.0, 295.0, 3.0, 0.0, 44.0, 0.0, 6.0, 1.0, 0.0, 7.0, 83.0, 0.0, 2.0, 2.0, 0.0, 61.0, 70.0, 0.0, 16.0, 0.0
 Brea de Arag?, 1-001 -A, 814.0, 814.0, 565.0, 0.0, 565.0, 10.0, 7.0, 115.0, 1.0, 60.0, 0.0, 0.0, 10.0, 211.0, 0.0, 0.0, 1.0, 0.0, 61.0, 56.0, 0.0, 33.0, 0.0
