order,up,distrito
460,-8,10
461,-10,11
462,-9,11
463,-10,11
464,-7,11
465,-8,11
466,-6,11
467,-3,11
468,-10,11
469,-7,11
470,-4,11
471,-2,11
472,-10,11
473,-10,11
474,-7,11
475,-7,11
476,-6,11
477,-2,12
478,-7,12
479,-8,12
480,-10,12
481,-9,12
482,-5,12
483,-5,12
484,-5,12
